Conflicting Qrels Summary:

Query: (30582,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74669,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74695,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74695,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (459,103,11327)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (459,103,11327)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27769,103,6059)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27769,103,6059)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (30439,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30439,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (35063,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74694,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74694,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (58590,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (53404,103,30166)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (53404,103,30166)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (59184,103,5542)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (59184,103,5542)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (22636,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (55605,103,6059)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (55605,103,6059)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (23630,103,9223)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (23630,103,9223)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74698,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74698,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (52046,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74663,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74663,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (65376,103,64104)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (65376,103,64104)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74686,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74686,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (58602,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (52624,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (24922,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (53888,103,1259)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (53888,103,1259)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74671,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74671,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74702,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74703,103,11737)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74703,103,11737)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (30464,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30464,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (23936,103,3177)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (23936,103,3177)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74705,103,6059)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74705,103,6059)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (32258,103,9784)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (2315,103,9223)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (2315,103,9223)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (30539,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30539,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (17,103,11327)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (17,103,11327)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27286,103,6059)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27286,103,6059)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27333,103,6059)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27333,103,6059)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74673,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74673,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74667,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74667,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74687,103,6059)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74687,103,6059)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (56489,103,6036)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (56489,103,6036)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27246,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27246,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (28660,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (52048,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27558,103,6059)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27558,103,6059)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27971,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27971,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (2333,103,9223)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (2333,103,9223)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27888,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27888,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (52320,103,6564)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (52320,103,6564)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (30538,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30538,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (58071,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74701,103,6076)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74701,103,6076)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27462,103,6059)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27462,103,6059)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27729,103,27175)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27729,103,27175)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27575,103,6059)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27575,103,6059)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (58601,103,22632)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (29434,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (29434,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (30394,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30394,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74666,103,46815)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74666,103,46815)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74668,103,9103)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74668,103,9103)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27127,103,11327)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27127,103,11327)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74692,103,6059)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74692,103,6059)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27792,103,27967)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27792,103,27967)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (53786,103,14199)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (53786,103,14199)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (14174,103,20825)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (14174,103,20825)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27879,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27879,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (31516,103,9278)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (31516,103,9278)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (23982,103,9223)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (23982,103,9223)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (22375,103,9223)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (22375,103,9223)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (51010,103,11327)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (51010,103,11327)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (27765,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (27765,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (51417,103,7056)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (51417,103,7056)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (53888,103,14674)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (53888,103,14674)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (64614,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (64614,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74675,103,6078)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74675,103,6078)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74682,103,6039)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74682,103,6039)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (3221,103,9223)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (3221,103,9223)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (74676,103,5542)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (74676,103,5542)-t, Document: 9784, Relevance Scores: ['1', '4']
Query: (30540,103,24225)-h, Document: 9784, Relevance Scores: ['1', '4']
Query: (30540,103,24225)-t, Document: 9784, Relevance Scores: ['1', '4']
